2023-11-11 13:23:43.227469: E tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:9342] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2023-11-11 13:23:43.227517: E tensorflow/compiler/xla/stream_executor/cuda/cuda_fft.cc:609] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2023-11-11 13:23:43.227545: E tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:1518] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2023-11-11 13:23:44.418766: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Downloading builder script: 100% 3.82k/3.82k [00:00<00:00, 23.4MB/s]
Downloading metadata: 100% 1.90k/1.90k [00:00<00:00, 11.2MB/s]
Downloading readme: 100% 14.1k/14.1k [00:00<00:00, 41.9MB/s]
Downloading: 100% 1.93k/1.93k [00:00<00:00, 11.6MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 2.90MB/s]
Downloading: 100% 65.9M/65.9M [00:02<00:00, 30.7MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 3.00MB/s]
Downloading (…)lve/main/config.json: 100% 665/665 [00:00<00:00, 2.69MB/s]
Downloading pytorch_model.bin: 100% 54.2M/54.2M [00:00<00:00, 193MB/s]
Some weights of ElectraForSequenceClassification were not initialized from the model checkpoint at google/electra-small-discriminator and are newly initialized: ['classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.dense.bias', 'classifier.out_proj.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Downloading (…)okenizer_config.json: 100% 29.0/29.0 [00:00<00:00, 141kB/s]
Downloading (…)solve/main/vocab.txt: 100% 232k/232k [00:00<00:00, 1.38MB/s]
Downloading (…)/main/tokenizer.json: 100% 466k/466k [00:00<00:00, 1.86MB/s]
Preprocessing data... (this takes a little bit, should only happen once per dataset)
Filter: 100% 10000/10000 [00:00<00:00, 117963.66 examples/s]
Filter: 100% 550152/550152 [00:01<00:00, 280684.57 examples/s]
Filter: 100% 10000/10000 [00:00<00:00, 264955.84 examples/s]
Map (num_proc=2): 100% 549367/549367 [00:45<00:00, 12106.80 examples/s]
{'loss': 0.3936, 'learning_rate': 1.7477780528413257e-05, 'epoch': 1.95}
{'loss': 0.3992, 'learning_rate': 1.735642896322077e-05, 'epoch': 1.96}
{'loss': 0.3892, 'learning_rate': 1.723507739802828e-05, 'epoch': 1.97}
{'loss': 0.3814, 'learning_rate': 1.711372583283579e-05, 'epoch': 1.97}
{'loss': 0.3851, 'learning_rate': 1.6992374267643305e-05, 'epoch': 1.98}
{'loss': 0.3773, 'learning_rate': 1.687102270245082e-05, 'epoch': 1.99}
{'loss': 0.372, 'learning_rate': 1.674967113725833e-05, 'epoch': 2.0}
{'loss': 0.3602, 'learning_rate': 1.6628319572065842e-05, 'epoch': 2.0}
{'loss': 0.3577, 'learning_rate': 1.6506968006873353e-05, 'epoch': 2.01}
{'loss': 0.3478, 'learning_rate': 1.6385616441680866e-05, 'epoch': 2.02}
{'loss': 0.3246, 'learning_rate': 1.6264264876488377e-05, 'epoch': 2.02}
{'loss': 0.3393, 'learning_rate': 1.614291331129589e-05, 'epoch': 2.03}
{'loss': 0.3451, 'learning_rate': 1.6021561746103404e-05, 'epoch': 2.04}
{'loss': 0.3601, 'learning_rate': 1.5900210180910914e-05, 'epoch': 2.05}
{'loss': 0.3563, 'learning_rate': 1.5778858615718425e-05, 'epoch': 2.05}
{'loss': 0.3583, 'learning_rate': 1.565750705052594e-05, 'epoch': 2.06}
{'loss': 0.3552, 'learning_rate': 1.5536155485333452e-05, 'epoch': 2.07}
{'loss': 0.3294, 'learning_rate': 1.5414803920140962e-05, 'epoch': 2.08}
{'loss': 0.3675, 'learning_rate': 1.5293452354948476e-05, 'epoch': 2.08}
{'loss': 0.346, 'learning_rate': 1.5172100789755986e-05, 'epoch': 2.09}
{'loss': 0.3293, 'learning_rate': 1.5050749224563498e-05, 'epoch': 2.1}
{'loss': 0.3354, 'learning_rate': 1.492939765937101e-05, 'epoch': 2.1}
{'loss': 0.3668, 'learning_rate': 1.4808046094178524e-05, 'epoch': 2.11}
{'loss': 0.3603, 'learning_rate': 1.4686694528986036e-05, 'epoch': 2.12}
{'loss': 0.355, 'learning_rate': 1.456534296379355e-05, 'epoch': 2.13}
{'loss': 0.352, 'learning_rate': 1.4443991398601058e-05, 'epoch': 2.13}
{'loss': 0.3441, 'learning_rate': 1.4322639833408572e-05, 'epoch': 2.14}
{'loss': 0.3684, 'learning_rate': 1.4201288268216084e-05, 'epoch': 2.15}
{'loss': 0.3484, 'learning_rate': 1.4079936703023596e-05, 'epoch': 2.16}
{'loss': 0.3505, 'learning_rate': 1.395858513783111e-05, 'epoch': 2.16}
{'loss': 0.3518, 'learning_rate': 1.383723357263862e-05, 'epoch': 2.17}
{'loss': 0.3527, 'learning_rate': 1.3715882007446132e-05, 'epoch': 2.18}
{'loss': 0.3311, 'learning_rate': 1.3594530442253644e-05, 'epoch': 2.18}
{'loss': 0.3659, 'learning_rate': 1.3473178877061158e-05, 'epoch': 2.19}
{'loss': 0.3519, 'learning_rate': 1.335182731186867e-05, 'epoch': 2.2}
{'loss': 0.3702, 'learning_rate': 1.3230475746676182e-05, 'epoch': 2.21}
{'loss': 0.3322, 'learning_rate': 1.3109124181483692e-05, 'epoch': 2.21}
{'loss': 0.3461, 'learning_rate': 1.2987772616291204e-05, 'epoch': 2.22}
{'loss': 0.3312, 'learning_rate': 1.2866421051098718e-05, 'epoch': 2.23}
{'loss': 0.3448, 'learning_rate': 1.274506948590623e-05, 'epoch': 2.24}
{'loss': 0.3693, 'learning_rate': 1.2623717920713744e-05, 'epoch': 2.24}
{'loss': 0.3402, 'learning_rate': 1.2502366355521252e-05, 'epoch': 2.25}
{'loss': 0.3547, 'learning_rate': 1.2381014790328768e-05, 'epoch': 2.26}
{'loss': 0.3601, 'learning_rate': 1.2259663225136278e-05, 'epoch': 2.26}
{'loss': 0.3689, 'learning_rate': 1.213831165994379e-05, 'epoch': 2.27}
{'loss': 0.3468, 'learning_rate': 1.2016960094751304e-05, 'epoch': 2.28}
{'loss': 0.363, 'learning_rate': 1.1895608529558814e-05, 'epoch': 2.29}
{'loss': 0.3655, 'learning_rate': 1.1774256964366328e-05, 'epoch': 2.29}
{'loss': 0.3477, 'learning_rate': 1.1652905399173838e-05, 'epoch': 2.3}
{'loss': 0.3427, 'learning_rate': 1.1531553833981352e-05, 'epoch': 2.31}
{'loss': 0.3581, 'learning_rate': 1.1410202268788864e-05, 'epoch': 2.32}
{'loss': 0.352, 'learning_rate': 1.1288850703596376e-05, 'epoch': 2.32}
{'loss': 0.3633, 'learning_rate': 1.1167499138403888e-05, 'epoch': 2.33}
{'loss': 0.3597, 'learning_rate': 1.10461475732114e-05, 'epoch': 2.34}
{'loss': 0.3586, 'learning_rate': 1.0924796008018912e-05, 'epoch': 2.34}
{'loss': 0.3338, 'learning_rate': 1.0803444442826424e-05, 'epoch': 2.35}
{'loss': 0.3347, 'learning_rate': 1.0682092877633937e-05, 'epoch': 2.36}
{'loss': 0.3354, 'learning_rate': 1.0560741312441448e-05, 'epoch': 2.37}
{'loss': 0.356, 'learning_rate': 1.0439389747248961e-05, 'epoch': 2.37}
{'loss': 0.3498, 'learning_rate': 1.0318038182056472e-05, 'epoch': 2.38}
{'loss': 0.3638, 'learning_rate': 1.0196686616863985e-05, 'epoch': 2.39}
{'loss': 0.354, 'learning_rate': 1.0075335051671497e-05, 'epoch': 2.4}
{'loss': 0.3539, 'learning_rate': 9.95398348647901e-06, 'epoch': 2.4}
{'loss': 0.3595, 'learning_rate': 9.832631921286521e-06, 'epoch': 2.41}
{'loss': 0.3442, 'learning_rate': 9.711280356094033e-06, 'epoch': 2.42}
{'loss': 0.3543, 'learning_rate': 9.589928790901545e-06, 'epoch': 2.42}
{'loss': 0.3485, 'learning_rate': 9.468577225709057e-06, 'epoch': 2.43}
{'loss': 0.3498, 'learning_rate': 9.347225660516571e-06, 'epoch': 2.44}
{'loss': 0.348, 'learning_rate': 9.225874095324081e-06, 'epoch': 2.45}
{'loss': 0.3384, 'learning_rate': 9.104522530131595e-06, 'epoch': 2.45}
{'loss': 0.3547, 'learning_rate': 8.983170964939107e-06, 'epoch': 2.46}
{'loss': 0.3613, 'learning_rate': 8.861819399746617e-06, 'epoch': 2.47}
{'loss': 0.3507, 'learning_rate': 8.740467834554131e-06, 'epoch': 2.48}
{'loss': 0.3328, 'learning_rate': 8.619116269361641e-06, 'epoch': 2.48}
{'loss': 0.3316, 'learning_rate': 8.497764704169155e-06, 'epoch': 2.49}
{'loss': 0.3551, 'learning_rate': 8.376413138976667e-06, 'epoch': 2.5}
{'loss': 0.3468, 'learning_rate': 8.255061573784179e-06, 'epoch': 2.5}
{'loss': 0.3681, 'learning_rate': 8.133710008591691e-06, 'epoch': 2.51}
{'loss': 0.3325, 'learning_rate': 8.012358443399203e-06, 'epoch': 2.52}
{'loss': 0.3453, 'learning_rate': 7.891006878206715e-06, 'epoch': 2.53}
{'loss': 0.3464, 'learning_rate': 7.769655313014227e-06, 'epoch': 2.53}
{'loss': 0.3356, 'learning_rate': 7.64830374782174e-06, 'epoch': 2.54}
{'loss': 0.3471, 'learning_rate': 7.526952182629252e-06, 'epoch': 2.55}
{'loss': 0.351, 'learning_rate': 7.405600617436764e-06, 'epoch': 2.56}
{'loss': 0.3309, 'learning_rate': 7.284249052244275e-06, 'epoch': 2.56}
{'loss': 0.35, 'learning_rate': 7.162897487051788e-06, 'epoch': 2.57}
{'loss': 0.3421, 'learning_rate': 7.041545921859301e-06, 'epoch': 2.58}
{'loss': 0.3692, 'learning_rate': 6.920194356666812e-06, 'epoch': 2.58}
{'loss': 0.3335, 'learning_rate': 6.798842791474325e-06, 'epoch': 2.59}
{'loss': 0.321, 'learning_rate': 6.677491226281838e-06, 'epoch': 2.6}
{'loss': 0.3322, 'learning_rate': 6.556139661089349e-06, 'epoch': 2.61}
{'loss': 0.3349, 'learning_rate': 6.434788095896861e-06, 'epoch': 2.61}
{'loss': 0.3568, 'learning_rate': 6.313436530704374e-06, 'epoch': 2.62}
{'loss': 0.3498, 'learning_rate': 6.192084965511886e-06, 'epoch': 2.63}
{'loss': 0.3269, 'learning_rate': 6.070733400319398e-06, 'epoch': 2.64}
{'loss': 0.3348, 'learning_rate': 5.94938183512691e-06, 'epoch': 2.64}
{'loss': 0.3307, 'learning_rate': 5.828030269934422e-06, 'epoch': 2.65}
{'loss': 0.3678, 'learning_rate': 5.7066787047419345e-06, 'epoch': 2.66}
{'loss': 0.3585, 'learning_rate': 5.5853271395494466e-06, 'epoch': 2.66}
{'loss': 0.3436, 'learning_rate': 5.4639755743569586e-06, 'epoch': 2.67}
{'loss': 0.3348, 'learning_rate': 5.34262400916447e-06, 'epoch': 2.68}
{'loss': 0.3438, 'learning_rate': 5.2212724439719826e-06, 'epoch': 2.69}
{'loss': 0.3294, 'learning_rate': 5.0999208787794946e-06, 'epoch': 2.69}
{'loss': 0.3369, 'learning_rate': 4.9785693135870066e-06, 'epoch': 2.7}
{'loss': 0.3317, 'learning_rate': 4.857217748394519e-06, 'epoch': 2.71}
{'loss': 0.3657, 'learning_rate': 4.7358661832020314e-06, 'epoch': 2.72}
{'loss': 0.3592, 'learning_rate': 4.6145146180095434e-06, 'epoch': 2.72}
{'loss': 0.3603, 'learning_rate': 4.4931630528170554e-06, 'epoch': 2.73}
{'loss': 0.3644, 'learning_rate': 4.3718114876245674e-06, 'epoch': 2.74}
{'loss': 0.3664, 'learning_rate': 4.2504599224320794e-06, 'epoch': 2.74}
{'loss': 0.3287, 'learning_rate': 4.1291083572395914e-06, 'epoch': 2.75}
{'loss': 0.3405, 'learning_rate': 4.007756792047104e-06, 'epoch': 2.76}
{'loss': 0.3471, 'learning_rate': 3.886405226854616e-06, 'epoch': 2.77}
{'loss': 0.3551, 'learning_rate': 3.7650536616621283e-06, 'epoch': 2.77}
{'loss': 0.3486, 'learning_rate': 3.6437020964696403e-06, 'epoch': 2.78}
{'loss': 0.3309, 'learning_rate': 3.5223505312771527e-06, 'epoch': 2.79}
{'loss': 0.3433, 'learning_rate': 3.4009989660846647e-06, 'epoch': 2.8}
{'loss': 0.3301, 'learning_rate': 3.2796474008921767e-06, 'epoch': 2.8}
{'loss': 0.3405, 'learning_rate': 3.158295835699689e-06, 'epoch': 2.81}
{'loss': 0.3661, 'learning_rate': 3.036944270507201e-06, 'epoch': 2.82}
{'loss': 0.3292, 'learning_rate': 2.915592705314713e-06, 'epoch': 2.83}
{'loss': 0.332, 'learning_rate': 2.7942411401222256e-06, 'epoch': 2.83}
{'loss': 0.3357, 'learning_rate': 2.6728895749297376e-06, 'epoch': 2.84}
{'loss': 0.3287, 'learning_rate': 2.5515380097372496e-06, 'epoch': 2.85}
{'loss': 0.3619, 'learning_rate': 2.4301864445447616e-06, 'epoch': 2.85}
{'loss': 0.3333, 'learning_rate': 2.308834879352274e-06, 'epoch': 2.86}
{'loss': 0.3553, 'learning_rate': 2.1874833141597865e-06, 'epoch': 2.87}
{'loss': 0.3186, 'learning_rate': 2.066131748967298e-06, 'epoch': 2.88}
{'loss': 0.3422, 'learning_rate': 1.9447801837748105e-06, 'epoch': 2.88}
{'loss': 0.3241, 'learning_rate': 1.8234286185823225e-06, 'epoch': 2.89}
{'loss': 0.3686, 'learning_rate': 1.7020770533898347e-06, 'epoch': 2.9}
{'loss': 0.3191, 'learning_rate': 1.5807254881973467e-06, 'epoch': 2.91}
{'loss': 0.3857, 'learning_rate': 1.459373923004859e-06, 'epoch': 2.91}
{'loss': 0.3459, 'learning_rate': 1.3380223578123711e-06, 'epoch': 2.92}
{'loss': 0.3428, 'learning_rate': 1.2166707926198831e-06, 'epoch': 2.93}
{'loss': 0.3221, 'learning_rate': 1.0953192274273953e-06, 'epoch': 2.93}
{'loss': 0.3394, 'learning_rate': 9.739676622349076e-07, 'epoch': 2.94}
{'loss': 0.3415, 'learning_rate': 8.526160970424198e-07, 'epoch': 2.95}
{'loss': 0.3252, 'learning_rate': 7.312645318499318e-07, 'epoch': 2.96}
{'loss': 0.3485, 'learning_rate': 6.09912966657444e-07, 'epoch': 2.96}
{'loss': 0.3479, 'learning_rate': 4.885614014649561e-07, 'epoch': 2.97}
{'loss': 0.3524, 'learning_rate': 3.6720983627246827e-07, 'epoch': 2.98}
{'loss': 0.3264, 'learning_rate': 2.4585827107998043e-07, 'epoch': 2.99}
{'loss': 0.3618, 'learning_rate': 1.2450670588749254e-07, 'epoch': 2.99}
{'loss': 0.3419, 'learning_rate': 3.155140695004684e-09, 'epoch': 3.0}
{'train_runtime': 9846.4691, 'train_samples_per_second': 167.38, 'train_steps_per_second': 20.923, 'train_loss': 0.4114050811185355, 'epoch': 3.0}
100% 206013/206013 [2:44:06<00:00, 20.92it/s]
